case,method,count,rng_normals,multiplies,adds,sqrts,reads,writes
case_1,CPU deterministic,3375,0,54000,40500,3375,64125,23625
case_1,CPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_1,GPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_1,CPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_1,GPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_1,CPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
case_1,GPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
case_2,CPU deterministic,3375,0,54000,40500,3375,64125,23625
case_2,CPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_2,GPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_2,CPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_2,GPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_2,CPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
case_2,GPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
case_3,CPU deterministic,3375,0,54000,40500,3375,64125,23625
case_3,CPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_3,GPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_3,CPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_3,GPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_3,CPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
case_3,GPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
case_4,CPU deterministic,3375,0,54000,40500,3375,64125,23625
case_4,CPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_4,GPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_4,CPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_4,GPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_4,CPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
case_4,GPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
case_5,CPU deterministic,3375,0,54000,40500,3375,64125,23625
case_5,CPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_5,GPU Monte Carlo,10000,30000,140000,129998,10000,210000,70000
case_5,CPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_5,GPU Monte Carlo,100000,300000,1400000,1299998,100000,2100000,700000
case_5,CPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
case_5,GPU Monte Carlo,1000000,3000000,14000000,12999998,1000000,21000000,7000000
